doy,basinSWE_amsr,basinSWE_era5
91,0.3402,3.1509
92,0.4599,3.1878
93,0.3915,3.1788
94,0.2358,3.1878
95,-99,3.2382
96,0.5733,3.1968
97,-99,3.1482
98,0.6435,3.1059
99,-99,3.0393
100,0.6489,2.9583
101,0.5328,2.8737
102,-99,2.7882
103,0.5373,2.7054
104,-99,2.6172
105,0.405,2.5227
106,-99,2.4147
107,0.5463,2.3058
108,0.369,2.1654
109,0.7083,2.0376
110,0.7803,1.8936
111,-99,1.7442
112,0.5742,1.5966
113,-99,1.4364
114,0.8316,1.2708
115,-99,1.1466
116,0.7407,1.0368
117,0.6939,0.9387
118,-99,0.8325
119,0.2196,0.7344
120,-99,0.6605999
121,0.6228,0.5733
122,-99,0.4833
123,0.1953,0.3942
124,0.4887,0.3411
125,0.5958,0.2952
126,0.5715,0.2556
127,-99,0.2187
128,0.6138,0.207
129,-99,0.1773
130,0.7542,0.153
131,-99,0.1242
132,0.5328,0.0963
133,0.4833,0.0729
134,-99,0.0531
135,0.2232,0.036
136,-99,0.0234
137,0.1179,0.0144
138,-99,0.009
139,0.162,0.0531
140,0.45,0.0396
141,0.4788,0.0279
142,0.4878,0.0171
143,-99,0.009
144,0.3447,0.0324
145,-99,0.0423
146,0.2889,0.0522
147,-99,0.0468
148,0.18,0.0369
149,0.2007,0.0261
150,-99,0.0234
151,0.3339,0.0144
152,-99,0.0054
153,0.3321,0.0027
154,-99,0.0018
155,0.2205,0.0018
156,0.1737,0.0117
157,0.2142,0.009
158,0.3753,0.0018
159,-99,0
160,0.4392,0
161,-99,0
162,0.2862,0
163,-99,0
164,0.2358,0
165,0.2835,0
166,-99,0
167,0.3735,0
168,-99,0
169,0.3843,0
170,-99,0
171,0.2952,0
172,0.1845,0
173,0.1629,0
174,0.0576,0
175,-99,0
176,0.0063,0
177,-99,0
178,0,0
179,-99,0
180,0.0045,0
181,0.0189,0
